run,modello,task,domanda_id,voto
1,gemma2:27b,HumanEval,200,1
1,llama3.2,SQuAD,201,1
1,llama3.1,SQuAD,201,1
1,gemma2:27b,SQuAD,201,1
1,llama3.2,SQuAD,202,1
1,llama3.1,SQuAD,202,1
1,gemma2:27b,SQuAD,202,1
1,llama3.2,HellaSwag,203,0
1,llama3.1,HellaSwag,203,0
1,gemma2:27b,HellaSwag,203,1
1,llama3.2,HumanEval,204,1
1,llama3.1,HumanEval,204,1
1,gemma2:27b,HumanEval,204,1
1,llama3.2,SQuAD,205,1
1,llama3.1,SQuAD,205,1
1,gemma2:27b,SQuAD,205,1
1,llama3.2,HumanEval,206,1
1,llama3.1,HumanEval,206,1
1,gemma2:27b,HumanEval,206,1
1,llama3.2,GSM8K,207,1
1,llama3.1,GSM8K,207,1
1,gemma2:27b,GSM8K,207,1
1,llama3.2,MMLU,208,1
1,llama3.1,MMLU,208,1
1,gemma2:27b,MMLU,208,1
1,llama3.2,SQuAD,209,1
1,llama3.1,SQuAD,209,1
1,gemma2:27b,SQuAD,209,1
1,llama3.2,GSM8K,210,1
1,llama3.1,GSM8K,210,1
1,gemma2:27b,GSM8K,210,1
1,llama3.2,HellaSwag,211,1
1,llama3.1,HellaSwag,211,0
1,gemma2:27b,HellaSwag,211,1
1,llama3.2,HellaSwag,212,1
1,llama3.1,HellaSwag,212,0
1,gemma2:27b,HellaSwag,212,1
1,llama3.2,HumanEval,213,1
1,llama3.1,HumanEval,213,1
1,gemma2:27b,HumanEval,213,1
1,llama3.2,SQuAD,214,1
1,llama3.1,SQuAD,214,1
1,gemma2:27b,SQuAD,214,1
1,llama3.2,HumanEval,215,1
1,llama3.1,HumanEval,215,1
1,gemma2:27b,HumanEval,215,1
1,llama3.2,HellaSwag,216,1
1,llama3.1,HellaSwag,216,0
1,gemma2:27b,HellaSwag,216,1
1,llama3.2,SQuAD,217,1
1,llama3.1,SQuAD,217,1
1,gemma2:27b,SQuAD,217,1
1,llama3.2,HumanEval,218,0
